Speaker	Truth-Rating	Statement	PolitiFact explanations	URL
George Will	0	We spend more money on lobbying than we do on campaigns.	The lobbyists make bank	/punditfact/statements/2015/jun/01/george-will/george-will-we-spend-more-lobbying-campaigns/
George Will	0	Last week's three most-viewed television programs wereSunday Night Football, Thursday Night Football and Monday Night Football.	"Football will outlive all of us"	/punditfact/statements/2014/sep/21/george-will/george-will-top-3-shows-us-last-week-were-nfl-game/
George Will	0	We lost more jobs in this great recession than the last four recessions combined.	A "great recession" that earned its nickname	/truth-o-meter/statements/2011/apr/04/george-will/george-will-says-most-recent-recession-killed-more/
George Will	0	Congress shoveled $700 billion into the Troubled Assets Relief Program, $325 billion of which has been spent without purchasing any toxic assets.	Lotsa money, but none for toxic assets	/truth-o-meter/statements/2009/apr/09/george-will/columnist-will-correct-initial-tarp-money-did-not-/
George Will	1	What the Arizona law does is make a state crime out of something that already is... a federal crime.	On the books but rarely enforced	/truth-o-meter/statements/2010/apr/28/george-will/will-says-arizona-law-merely-echoes-federal-immigr/
George Will	1	When we started this health care debate a year ago, 85 percent of the American people had health insurance, and 95 percent of the 85 percent were happy with it.	Most polls are slightly lower, but still a remarkable degree of satisfaction	/truth-o-meter/statements/2010/mar/10/george-will/will-says-95-percent-people-health-insurance-are-s/
George Will	3	Social Security was advocated  in the 1930s as a way of getting people to quit working, because they thought we were confined to a permanent scarcity of jobs in this country.	At most, an indirect motivation	/punditfact/statements/2014/feb/11/george-will/george-will-says-social-security-was-created-1930s/
George Will	3	Most of the (Affordable Care Act) has already in some sense been waived or otherwise suspended.	High-profile changes but limited reach	/punditfact/statements/2013/dec/22/george-will/george-will-says-most-health-care-law-has-been-wai/
George Will	3	Over 10 years, (extending tax cuts for the wealthy) would add less to the deficit than Obama added with the stimulus in one year.	Stimulus wasn't spent in just one year	/truth-o-meter/statements/2010/sep/14/george-will/george-will-says-tax-cuts-wealthy-cost-less-over-1/
George Will	4	The last time there was a sustained surge of confidence in government's competence was under Ronald Reagan.	A sustained surge under Clinton, too	/punditfact/statements/2014/oct/05/george-will/george-will-america-hasnt-had-sustained-confidence/
George Will	4	Any Floridian who has ever requested an absentee ballot henceforth gets one automatically.	Through two general elections isn't life	/punditfact/statements/2014/feb/06/george-will/george-will-says-any-floridian-who-has-ever-reques/
Barney Simms	0	Have the suburbs been inundated with former residents of Atlanta housing projects? Absolutely not.	Former Atlanta tenants not flooding the 'burbs, research show	/georgia/statements/2010/jul/20/barney-simms/are-former-atlanta-tenants-flooding-suburbs/
Charles Cooper	2	Very few men outlive their own fertility.	No 'fertility cliff,' but science isn't settled	/truth-o-meter/statements/2013/mar/28/charles-cooper/attorney-same-sex-marriage-case-says-very-few-men-/
Todd Wilcox	2	More businesses are closing than are opening for the first time in our nation's history.	The data only goes back to the 1970s	/florida/statements/2015/jul/10/todd-wilcox/senate-candidate-wilcox-says-more-businesses-closi/
Wisconsin Corn Growers Association	2	Without ethanol, gas prices would be at least 15% higher. With gas at four bucks, that means youre saving 12 bucks on a 20 gallon fill up.	It holds down pump prices, but you also pay up from another pocket	/wisconsin/statements/2011/may/29/wisconsin-corn-growers-association/wisconsin-corn-growers-association-says-without-et/
Alex Sink	0	150,000 (oil spill) claims have been filed by Floridians, but only 40 percent of them have been paid.	Claims process has been slow going	/florida/statements/2010/dec/08/alex-sink/alex-sink-says-bp-claims-administrator-slow-respon/
Alex Sink	0	Florida ranks last in the ratio of employees to residents...And Florida is dead last in the nation in state employee payroll expenditures per resident.	We tie with Illinois in one category	/florida/statements/2010/sep/14/alex-sink/alex-sink-says-florida-last-two-state-employee-mea/
Alex Sink	0	Floridas high school graduation rate falls well below the national average.	Florida among bottom third of all the states	/florida/statements/2010/jul/08/alex-sink/alex-sink-says-floridas-grad-rates-are-low/
Alex Sink	0	Rick Scott's even saying he wants more offshore drilling.	Drill -- safely -- baby, Drill	/florida/statements/2010/may/18/alex-sink/rick-scott-supports-oil-drilling/
Alex Sink	0	As Florida's CFO, I shut down Krakow's scam and refunded more than $1.2 million to Josephine and other victims of this con man.	Yes, Sink returned even more than what she actually said	/florida/statements/2010/mar/18/alex-sink/sink-claims-she-refunded-12-million-insurance-frau/
Alex Sink	0	No Democratic campaign for (Fla.) governor has ever had these kinds of resources this early on in an election cycle.	Helps that the primary is uncontested	/florida/statements/2010/jan/15/alex-sink/floridas-alex-sink-says-2009-fundraising-tops-for-/
Alex Sink	1	Florida spends more than $300 million a year just on children repeating pre-K through 3rd grade.	Big numbers, simple math, claim mostly adds up	/florida/statements/2010/sep/21/alex-sink/alex-sink-florida-spends-300-million-students-held/
Alex Sink	2	The minute this proposal for near-beach oil drilling came up, I was against it.	She waited three days to issue a press release but did quickly speak out against bill timing	/florida/statements/2010/jun/17/alex-sink/sink-says-she-opposed-drilling-minute-it-was-propo/
Alex Sink	3	Bill McCollum said tax cuts don't work.	Sink is cherry-picking one quote	/florida/statements/2010/feb/24/alex-sink/sink-says-mccollum-said-tax-cuts-dont-work/
Alex Sink	4	Nobody has been talking about it (Medicaid fraud), focused on it, or paying attention to it.	Plenty have been paying attention	/florida/statements/2010/mar/05/alex-sink/alex-sinks-nobody-medicaid-fraud/
Focus on the Family Action	0	As a state senator, he (Obama) even refused to support a measure to stop sex businesses from opening near schools or places of worship!	He wanted local officials to decide	/truth-o-meter/statements/2008/apr/23/focus-family-action/he-wanted-local-officials-to-decide/
Focus on the Family Action	4	Among his (Obama's) pet projects is a bill ... which would commit the U.S. to spending 0.7 percent of gross national product on foreign aid.	The bill has no such spending requirement	/truth-o-meter/statements/2008/apr/15/focus-family-action/the-bill-has-no-such-spending-requirement/
Atlanta Police Foundation	0	Crime in Atlanta is down 18 percent since 2009.	Crime down, stats show	/georgia/statements/2014/jan/10/atlanta-police-foundation/police-foundation-target/
Alan Krueger	0	Since the Affordable Care Act passed, 90 percent of job growth has been in full-time positions.	Correct, though pattern has changed in recent months	/truth-o-meter/statements/2013/aug/07/alan-krueger/alan-krueger-top-economist-obama-says-most-new-job/
Jon Bramnick	3	The president promised that if he spent money on a stimulus program that unemployment would go to 5.7 percent or 6 percent. Those were his words.	A projection from top advisers	/new-jersey/statements/2012/sep/13/jon-bramnick/jon-bramnick-claims-barack-obama-promised-stimulus/
Friends of Democracy	3	Your Congressman, Charlie Bass, took over $166,000 from Big Oil.	Big Oil claim a big stretch	/new-hampshire/statements/2012/aug/23/friends-democracy/charlie-bass-accused-taking-money-big-oil/
Debbie Riddle	4	Over 81 percent of the babies that are born at LBJ Hospital right here in Houston are born of women who are not here legally.	More than half, but less than 81 percent	/texas/statements/2010/aug/23/debbie-riddle/debbie-riddle-says-more-81-babies-born-houston-hos/
Tennessee Democratic Party	0	Tennessees grocery tax is one of the highest in the nation.	An affirmative on this price check	/tennessee/statements/2012/jan/24/tennessee-democratic-party/democrats-say-tennessee-consumers-pay-among-nation/
Sharlene Leurig	2	Austin is the only city in an arid landscape in the western United States dependent on a single source of water.	Others strapped too	/texas/statements/2015/may/18/sharlene-leurig/water-expert-says-austin-only-city-arid-western-us/
Steve Cohen	2	The fact is, in the past year we have had more tax cuts than almost any time in our nation's history.	Cuts this year, but hikes to come	/truth-o-meter/statements/2010/apr/16/steve-cohen/obama-administration-has-enacted-many-tax-cuts-rai/
Steve Cohen	5	The Republicans have never done anything really to balance the budget.	Don't forget about the first President Bush	/tennessee/statements/2012/jan/13/steve-cohen/have-republicans-never-done-anything-really-tame-n/
Yolanda Adrean	2	We [the city of Atlanta] are overbuilt on housing.	Glut of Property is Not the Only Problem	/georgia/statements/2011/sep/07/yolanda-adrean/slow-housing-market-poses-problems/
Chris  Coons	3	Keystone means unlocking the Canadian tar sands.	Land of oil sands long 'unlocked'	/truth-o-meter/statements/2015/jan/11/chris-coons/chris-coons-keystone-means-unlocking-canadian-oil-/
Hank Gilbert	3	Todd Staples recently tried to woo his supporters and right-wing base by suggesting the Agriculture Commission cut programs intended to feed the elderly and disabled, many of whom are veterans.	Proposal includes food aid cuts, but program wasn't targeted	/texas/statements/2010/mar/08/hank-gilbert/democrat-hank-gilbert-says-agriculture-commissione/
Maryellen O'Shaughnessy	0	Since 2000, when he entered politics, Jon Husted has been on the ballot six times for three different political offices.	Pot, meet the kettle	/ohio/statements/2010/oct/22/maryellen-oshaughnessy/maryellen-oshaughnessy-cites-jon-husteds-election-/
James Stegmaier	0	Chesterfield has eliminated more positions from its general government operations than the Commonwealth has from the entire state government since (fiscal) 2009.	Who would have guessed?	/virginia/statements/2012/jan/29/james-stegmaier/stegmaier-says-chesterfield-county-has-cut-more-go/
Direct Action for Rights & Equality	5	Roughly 25% of RI has a criminal record	So wrong its almost criminal	/rhode-island/statements/2011/mar/10/direct-action-rights-equality/advocacy-group-says-25-percent-rhode-islanders-hav/
Ian Lang	0	Rhode Island continues to have the highest rates of substance abuse in the country.	No substantive abuse of the truth	/rhode-island/statements/2011/jun/09/ian-lang/social-service-provider-says-rhode-island-has-high/
Ron  Christie	3	After the 2001 and 2003 Bush tax rate cuts ... there was more money coming into the treasury.	Cherry-picked data	/punditfact/statements/2015/jun/17/ron-christie/gop-strategist-christie-tax-revenues-rose-after-bu/
Florida Students for Concealed Carry	3	According to the state of Florida, you are almost twice as likely to be attacked by an alligator than by someone who happens to carry a conceal-and-carry permit.	A biting claim	/florida/statements/2015/mar/23/florida-students-concealed-carry/are-alligator-attacks-more-common-attacks-those-gu/
Chris Taylor	0	The Capitol rotunda was actually made to invite the people in and to accommodate protests.	A public square under a very large dome	/wisconsin/statements/2014/apr/14/chris-taylor/rep-chris-taylor-says-state-capitol-rotunda-was-de/
Chris Taylor	0	Drone technology now allows an individual to be recorded in their homes by drones as small as birds and immediately uploaded to the internet.	Unlikely at the moment, but it is possible	/wisconsin/statements/2014/apr/09/chris-taylor/bird-sized-drones-could-record-you-inside-your-hom/
